iso_code,Country,UN_Country
TWN,Taiwan,
AFG,Afghanistan,Afghanistan
ALB,Albania,Albania
DZA,Algeria,Algeria
ASM,American Samoa,
AND,Andorra,Andorra
AGO,Angola,Angola
AIA,Anguilla,
ATA,Antarctica,
ATG,Antigua & Barbuda,Antigua and Barbuda
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ABW,Aruba,
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BHS,Bahamas,Bahamas
BHR,Bahrain,Bahrain
BGD,Bangladesh,Bangladesh
BRB,Barbados,Barbados
BLR,Belarus,Belarus
BEL,Belgium,Belgium
BLZ,Belize,Belize
BEN,Benin,Benin
BMU,Bermuda,
BTN,Bhutan,Bhutan
BOL,Bolivia,Bolivia (Plurinational State of)
BES,Caribbean Netherlands,
BIH,Bosnia,Bosnia and Herzegovina
BWA,Botswana,Botswana
BVT,Bouvet Island,
BRA,Brazil,Brazil
IOT,British Indian Ocean Territory,
VGB,British Virgin Islands,
BRN,Brunei,Brunei Darussalam
BGR,Bulgaria,Bulgaria
BFA,Burkina Faso,Burkina Faso
BDI,Burundi,Burundi
CPV,Cape Verde,Cabo Verde
KHM,Cambodia,Cambodia
CMR,Cameroon,Cameroon
CAN,Canada,Canada
CYM,Cayman Islands,
CAF,Central African Republic,Central African Republic
TCD,Chad,Chad
CHL,Chile,Chile
CHN,China,China
HKG,Hong Kong,"Hong Kong, China (SAR)"
MAC,Macau,
CXR,Christmas Island,
CCK,Cocos (Keeling) Islands,
COL,Colombia,Colombia
COM,Comoros,Comoros
COG,Congo - Brazzaville,Congo
COK,Cook Islands,
CRI,Costa Rica,Costa Rica
HRV,Croatia,Croatia
CUB,Cuba,Cuba
CUW,Curaçao,
CYP,Cyprus,Cyprus
CZE,Czechia,Czechia
CIV,Côte d’Ivoire,C�te d'Ivoire
PRK,North Korea,Korea (Democratic People's Rep. of)
COD,Congo - Kinshasa,Congo (Democratic Republic of the)
DNK,Denmark,Denmark
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
SLV,El Salvador,El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
SWZ,Eswatini,Eswatini (Kingdom of)
ETH,Ethiopia,Ethiopia
FLK,Falkland Islands,
FRO,Faroe Islands,
FJI,Fiji,Fiji
FIN,Finland,Finland
FRA,France,France
GUF,French Guiana,
PYF,French Polynesia,
ATF,French Southern Territories,
GAB,Gabon,Gabon
GMB,Gambia,Gambia
GEO,Georgia,Georgia
DEU,Germany,Germany
GHA,Ghana,Ghana
GIB,Gibraltar,
GRC,Greece,Greece
GRL,Greenland,
GRD,Grenada,Grenada
GLP,Guadeloupe,
GUM,Guam,
GTM,Guatemala,Guatemala
GGY,Guernsey,
GIN,Guinea,Guinea
GNB,Guinea-Bissau,Guinea-Bissau
GUY,Guyana,Guyana
HTI,Haiti,Haiti
HMD,Heard & McDonald Islands,
VAT,Vatican City,
HND,Honduras,Honduras
HUN,Hungary,Hungary
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,Iran,Iran (Islamic Republic of)
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
IMN,Isle of Man,
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JPN,Japan,Japan
JEY,Jersey,
JOR,Jordan,Jordan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KIR,Kiribati,Kiribati
KWT,Kuwait,Kuwait
KGZ,Kyrgyzstan,Kyrgyzstan
LAO,Laos,Lao People's Democratic Republic
LVA,Latvia,Latvia
LBN,Lebanon,Lebanon
LSO,Lesotho,Lesotho
LBR,Liberia,Liberia
LBY,Libya,Libya
